INFORMAÇÕES SOBRE A DEMANDA;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
PASSAGEIROS TRANSPORTADOS POR LINHA² - Outubro/2017;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
DEMANDA (milhares);Linha 1 - Azul ;Linha 2 - Verde;Linha 3 - Vermelha;Linha 5 - Lilás ;Linha 15 - Prata ;Rede;;;;;;;;;
Total;35.446;16.637;36.496;6.427;459;95.464;;;;;;;;;
Média dos dias úteis ;1.432;696;1.455;264;20;3.867;;;;;;;;;
Média dos Sábados ;788;301;835;149;7;2.080;;;;;;;;;
Média dos Domingos ;422;179;485;57;2;1.146;;;;;;;;;
Máxima Diária ;1.506;718;1.532;280;21;4.057;;;;;;;;;
² Corresponde à soma das entradas pela linha de bloqueios com as transferências entre linhas nas estações Sé, Paraíso, Ana Rosa e Vila Prudente;;;;;;;;;;;;;;;
Fonte: Gerência de Operações / Coordenadoria de Estratégia Operacional;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
