INFORMAÇÕES SOBRE A DEMANDA - JANEIRO/2019;;;;;
;;;;;
PASSAGEIROS TRANSPORTADOS POR LINHA¹;;;;;
;;;;;
DEMANDA (milhares);Linha 1-Azul ;Linha 2-Verde;Linha 3-Vermelha;Linha 15 - Prata ;Rede
Total;32.037;15.982;31.644;903;80.567
Média dos dias úteis ;1.258;648;1.230;37;3.171
Média dos Sábados ;721;292;736;17;1.767
Média dos Domingos ;454;203;475;11;1.143
Máxima Diária ;1.362;724;1.332;46;3.452
¹ Corresponde à soma das entradas pela linha de bloqueios com as transferências entre linhas nas estações Sé, Paraíso, Ana Rosa e Vila Prudente;;;;;
;;;;;
Fonte: Diretoria de Operações / Coordenadoria de Informações Gerenciais e Estudos Estratégicos - 13/02/2019;;;;;
