INFORMAÇÕES SOBRE A DEMANDA - JUNHO/2020;;;;;;;;
;;;;;;;;
DEMANDA DE PASSAGEIROS POR ESTAÇÃO* -  MÉDIA DOS DIAS ÚTEIS (em milhares) **;;;;;;;;
;;;;;;;;
Linha 1 - Azul  ;;Linha 2 - Verde  ;;Linha 3 - Vermelha  ;;Linha 15 - Prata;;
Estação ;Entradas ;Estação ;Entradas;Estação ;Entradas;Estação ;Entradas;
Jabaquara;29;Vila Prudente5;19;Corinthians-Itaquera;35;Vila Prudente6;13;
Conceição ;10;Tamanduateí;25;Artur Alvim;25;Oratório;2;
São Judas ;5;Sacomã;15;Patriarca ;8;São Lucas;1;
Saúde ;10;Alto do Ipiranga ;6;Guilhermina-Esperança ;8;Camilo Haddad;1;
Praça da Árvore ;5;Santos-Imigrantes ;5;Vila Matilde ;10;Vila Tolstói;1;
Santa Cruz;34;Chácara Klabin ;24;Penha ;12;Vila União;2;
Vila Mariana ;6;Ana Rosa²;22;Carrão ;16;Jardim Planalto;4;
Ana Rosa¹;23;Paraíso²;22;Tatuapé;27;Sapopemba;2;
Paraíso¹;29;Brigadeiro ;14;Belém ;16;Fazenda da Juta;1;
Vergueiro ;10;Trianon-Masp ;11;Bresser-Moóca ;13;São Mateus;5;
São Joaquim ;8;Consolação;27;Brás;48;- ;- ;
Liberdade ;7;Clínicas ;9;Pedro II ;9;- ;- ;
Sé³;76;Santuário N.S. de Fátima-Sumaré ;3;Sé4;73;- ;- ;
São Bento;18;Vila Madalena;5;Anhangabaú;19;- ;- ;
Luz;39;- ;-;República;44;- ;- ;
Tiradentes ;5;- ;-;Santa Cecília ;11;- ;- ;
Armênia ;8;- ;-;Marechal Deodoro ;11;- ;- ;
Portuguesa-Tietê ;17;- ;-;Palmeiras-Barra Funda;62;- ;- ;
Carandiru ;4;- ;-;- ;-;- ;- ;
Santana ;21;- ;-;- ;-;- ;- ;
Jardim São Paulo-Ayrton Senna;3;- ;-;- ;-;- ;- ;
Parada Inglesa ;4;- ;-;- ;-;- ;- ;
Tucuruvi ;22;- ;-;- ;-;- ;- ;
TOTAL;391;TOTAL;206;TOTAL;448;TOTAL;27;
*Corresponde à soma das entradas pelas linhas de bloqueios com as transferências entre linhas nas Estações Sé, Paraíso, Ana Rosa e Vila Prudente.;;;;;;;;
¹ Corresponde à soma dos usuários que embarcaram na Linha 1-Azul com as transferências da Linha 2-Verde;;;;;;;;
² Corresponde à soma dos usuários que embarcaram na Linha 2-Verde com as transferências da Linha 1-Azul;;;;;;;;
3 Corresponde à soma dos usuários que embarcaram na Linha 1-Azul com as transferências da Linha 3-Vermelha;;;;;;;;
4 Corresponde à soma dos usuários que embarcaram na Linha 3-Vermelha com as transferências da Linha 1-Azul;;;;;;;;
5 Corresponde à soma dos usuários que embarcaram na Linha 2-Verde com as transferências da Linha 15-Prata;;;;;;;;
6 Corresponde à soma dos usuários que embarcaram na Linha 15-Prata com as transferências da Linha 2-Verde;;;;;;;;
            Dez estações de maior movimento (Considerou-se a somatória dos valores das estações Paraíso e Ana Rosa);;;;;;;;
** Demanda reduzida devido à pandemia do novo Coronavírus anunciada pela Organização Mundial da Saúde em 11/03;;;;;;;;
Fonte: Diretoria de Operações / Coordenadoria de Informações Gerenciais e Estudos Estratégicos - 27/07/2020;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
