Station,Year,Line_Colour,Line_Num,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
Adolfo Pinheiro,2018,Lilás,5,6,8,8,9,9,8,6,7,,,,
Alto da Boa Vista7,2018,Lilás,5,,,,3,3,3,3,3,,,,
Alto da Boa Vista8,2018,Lilás,5,3,4,4,,,,,,,,,
Alto do Ipiranga ,2018,Verde,2,16,20,21,21,21,21,18,21,21,22,22,20
Alto do Ipiranga ,2019,Verde,2,17,22,23,23,23,22,19,22,22,22,23,19
Alto do Ipiranga ,2020,Verde,2,18,22,14,4,5,6,7,8,9,9,10,9
Ana Rosa²,2018,Verde,2,67,80,84,84,83,81,73,82,83,85,87,81
Ana Rosa²,2019,Verde,2,70,83,86,87,85,82,73,83,81,83,83,74
Ana Rosa²,2020,Verde,2,67,79,52,15,18,22,27,31,34,37,39,39
Ana Rosa¹,2018,Azul,1,72,88,92,93,91,88,79,90,90,93,97,88
Ana Rosa¹,2019,Azul,1,79,96,100,101,98,95,85,96,95,97,96,85
Ana Rosa¹,2020,Azul,1,79,96,60,18,20,23,29,34,38,41,43,41
Anhangabaú,2018,Vermelha,3,67,76,79,77,76,76,73,78,77,78,77,71
Anhangabaú,2019,Vermelha,3,65,73,73,72,71,70,66,69,69,69,70,64
Anhangabaú,2020,Vermelha,3,60,67,45,14,16,19,23,26,29,31,32,32
Armênia ,2018,Azul,1,26,30,31,31,30,29,27,30,30,30,31,28
Armênia ,2019,Azul,1,26,29,30,30,30,29,26,29,29,29,30,26
Armênia ,2020,Azul,1,25,28,19,6,7,8,11,12,13,14,15,14
Artur Alvim,2018,Vermelha,3,58,67,70,71,70,69,64,69,69,70,71,67
Artur Alvim,2019,Vermelha,3,59,67,69,69,68,67,61,67,67,67,69,63
Artur Alvim,2020,Vermelha,3,57,65,45,18,21,25,29,33,36,38,40,40
Belém ,2018,Vermelha,3,39,46,49,49,49,47,43,48,49,48,50,45
Belém ,2019,Vermelha,3,41,47,49,49,48,46,41,47,47,47,47,42
Belém ,2020,Vermelha,3,39,45,32,13,14,16,19,22,24,25,26,26
Borba Gato7,2018,Lilás,5,,,,8,8,7,5,5,,,,
Borba Gato8,2018,Lilás,5,4,6,8,,,,,,,,,
Bresser-Moóca ,2018,Vermelha,3,30,41,47,48,46,45,34,45,47,47,48,40
Bresser-Moóca ,2019,Vermelha,3,31,43,48,48,47,43,33,44,46,45,45,37
Bresser-Moóca ,2020,Vermelha,3,31,40,29,9,11,13,16,17,19,21,22,21
Brigadeiro ,2018,Verde,2,51,59,60,60,62,60,58,61,61,61,63,60
Brigadeiro ,2019,Verde,2,56,63,64,63,63,63,60,64,65,66,65,61
Brigadeiro ,2020,Verde,2,58,65,40,10,11,14,18,20,23,25,26,25
Brooklin7,2018,Lilás,5,,,,12,12,12,10,11,,,,
Brooklin8,2018,Lilás,5,8,10,13,,,,,,,,,
Brás,2018,Vermelha,3,87,96,99,99,99,100,96,99,100,100,103,110
Brás,2019,Vermelha,3,90,96,98,99,99,99,95,98,100,101,100,110
Brás,2020,Vermelha,3,91,99,71,32,38,48,57,61,67,72,75,78
Camilo Haddad,2018,Prata,15,,,,,,,,,,,,2
Camilo Haddad,2019,Prata,15,2,3,3,3,3,3,3,4,4,4,4,3
Camilo Haddad,2020,Prata,15,3,4,,,,1,1,1,2,2,2,2
Campo Limpo ,2018,Lilás,5,27,31,33,34,34,33,31,31,,,,
Capão Redondo ,2018,Lilás,5,60,70,75,78,80,76,70,73,,,,
Carandiru ,2018,Azul,1,12,15,16,16,15,15,14,16,16,16,16,15
Carandiru ,2019,Azul,1,13,16,16,17,16,16,14,16,16,16,16,14
Carandiru ,2020,Azul,1,13,16,10,3,3,4,5,5,6,6,7,6
Carrão ,2018,Vermelha,3,42,53,64,63,61,57,47,61,62,61,63,51
Carrão ,2019,Vermelha,3,44,59,63,64,63,56,47,61,63,62,61,48
Carrão ,2020,Vermelha,3,42,57,40,12,14,16,19,22,24,25,27,26
Chácara Klabin ,2018,Verde,2,6,7,7,7,8,7,7,8,8,34,57,57
Chácara Klabin ,2019,Verde,2,55,67,70,73,75,73,68,76,80,80,83,75
Chácara Klabin ,2020,Verde,2,72,85,55,18,20,24,28,32,36,39,41,40
Clínicas ,2018,Verde,2,25,29,31,30,28,27,24,27,27,27,28,24
Clínicas ,2019,Verde,2,23,26,27,27,27,27,25,27,27,26,27,24
Clínicas ,2020,Verde,2,22,26,18,8,9,9,10,12,13,13,14,13
Conceição ,2018,Azul,1,34,40,41,42,42,41,38,42,42,43,44,40
Conceição ,2019,Azul,1,36,42,43,43,42,41,37,41,42,42,42,37
Conceição ,2020,Azul,1,35,40,25,7,8,10,12,13,14,15,16,16
Consolação,2018,Verde,2,119,143,147,146,142,138,126,142,142,135,134,124
Consolação,2019,Verde,2,112,135,141,141,139,135,124,141,140,138,137,124
Consolação,2020,Verde,2,111,134,83,21,22,27,34,40,45,50,52,50
Corinthians-Itaquera,2018,Vermelha,3,86,96,102,101,100,98,93,98,99,99,101,96
Corinthians-Itaquera,2019,Vermelha,3,86,96,99,99,98,94,88,96,96,95,96,89
Corinthians-Itaquera,2020,Vermelha,3,81,89,64,27,30,35,44,47,50,54,57,58
Eucaliptos8,2018,Lilás,5,,,,17,19,20,19,21,,,,
Fazenda da Juta,2019,Prata,15,,,,,,,,,,,,1
Fazenda da Juta,2020,Prata,15,3,4,,,,1,1,2,2,2,2,2
Giovanni Gronchi ,2018,Lilás,5,16,19,21,21,22,20,18,20,,,,
Guilhermina-Esperança ,2018,Vermelha,3,22,25,26,27,27,26,24,26,26,26,27,25
Guilhermina-Esperança ,2019,Vermelha,3,22,25,26,27,26,25,23,25,26,26,26,24
Guilhermina-Esperança ,2020,Vermelha,3,22,25,17,6,7,8,10,11,12,13,13,13
Jabaquara,2018,Azul,1,80,87,91,91,90,88,83,89,91,92,95,90
Jabaquara,2019,Azul,1,81,88,91,93,91,87,81,89,90,91,92,87
Jabaquara,2020,Azul,1,80,87,59,22,25,29,35,39,43,48,49,48
Jardim Planalto,2019,Prata,15,,,,,,,,8,12,14,15,13
Jardim Planalto,2020,Prata,15,4,4,,,,4,2,2,2,2,3,3
Jardim São Paulo-Ayrton Senna,2018,Azul,1,12,15,15,15,15,15,14,15,15,15,16,14
Jardim São Paulo-Ayrton Senna,2019,Azul,1,12,15,16,16,16,16,14,16,16,16,16,14
Jardim São Paulo-Ayrton Senna,2020,Azul,1,13,16,10,2,2,3,4,5,5,6,6,6
Largo Treze ,2018,Lilás,5,23,28,31,32,31,28,24,24,,,,
Liberdade ,2018,Azul,1,24,29,31,30,30,28,27,29,30,30,31,28
Liberdade ,2019,Azul,1,24,29,30,30,29,28,25,29,29,29,29,26
Liberdade ,2020,Azul,1,22,27,18,5,6,7,9,10,11,12,12,13
Luz,2018,Azul,1,150,170,180,182,177,173,165,175,177,178,182,173
Luz,2019,Azul,1,154,171,174,167,159,149,137,150,147,176,164,146
Luz,2020,Azul,1,134,152,94,23,29,39,49,57,64,70,74,75
Marechal Deodoro ,2018,Vermelha,3,31,37,39,39,38,37,35,38,38,37,38,35
Marechal Deodoro ,2019,Vermelha,3,32,38,39,38,38,37,33,37,37,36,37,33
Marechal Deodoro ,2020,Vermelha,3,31,36,24,8,9,11,13,15,17,18,19,18
Oratório,2018,Prata,15,8,9,10,10,10,10,9,10,10,9,9,3
Oratório,2019,Prata,15,4,6,7,7,7,7,6,6,7,7,7,6
Oratório,2020,Prata,15,6,7,,,,2,2,3,3,3,4,3
Palmeiras-Barra Funda,2018,Vermelha,3,172,201,214,219,214,210,194,213,214,216,220,204
Palmeiras-Barra Funda,2019,Vermelha,3,181,209,217,221,221,209,194,211,216,218,214,192
Palmeiras-Barra Funda,2020,Vermelha,3,176,196,136,45,52,62,75,82,90,96,97,103
Parada Inglesa ,2018,Azul,1,14,17,18,18,17,17,15,17,17,17,18,16
Parada Inglesa ,2019,Azul,1,14,17,17,18,17,17,15,17,17,17,17,15
Parada Inglesa ,2020,Azul,1,14,17,10,3,3,4,5,5,6,7,7,7
Paraíso²,2018,Verde,2,62,73,77,77,76,74,67,75,76,78,81,75
Paraíso²,2019,Verde,2,65,77,80,80,79,75,68,76,84,86,86,77
Paraíso²,2020,Verde,2,70,82,53,16,18,22,28,32,35,38,40,40
Paraíso¹,2018,Azul,1,94,113,120,119,118,114,104,117,118,121,127,115
Paraíso¹,2019,Azul,1,104,125,130,132,129,123,111,126,117,119,120,106
Paraíso¹,2020,Azul,1,100,120,75,22,24,29,35,41,46,49,52,50
Patriarca ,2018,Vermelha,3,21,25,26,26,26,25,24,25,26,26,26,25
Patriarca ,2019,Vermelha,3,22,25,26,26,26,25,23,26,26,25,26,24
Patriarca ,2020,Vermelha,3,22,25,17,6,7,8,10,11,13,13,14,13
Pedro II ,2018,Vermelha,3,23,26,26,26,26,26,25,26,26,26,27,25
Pedro II ,2019,Vermelha,3,23,25,24,25,24,24,23,24,24,24,24,22
Pedro II ,2020,Vermelha,3,21,23,16,7,8,9,11,12,13,14,14,14
Penha ,2018,Vermelha,3,31,37,38,39,38,38,34,38,38,38,39,35
Penha ,2019,Vermelha,3,31,36,38,38,37,36,33,37,37,37,37,33
Penha ,2020,Vermelha,3,30,34,24,8,9,12,14,16,17,18,19,19
Portuguesa-Tietê ,2018,Azul,1,61,62,62,64,64,62,61,64,66,64,66,68
Portuguesa-Tietê ,2019,Azul,1,62,62,61,65,63,62,59,61,63,64,64,62
Portuguesa-Tietê ,2020,Azul,1,59,60,38,13,14,17,20,23,26,30,32,33
Praça da Árvore ,2018,Azul,1,18,22,23,23,23,23,20,23,23,23,24,22
Praça da Árvore ,2019,Azul,1,19,23,24,24,24,23,20,23,23,23,23,21
Praça da Árvore ,2020,Azul,1,19,22,14,4,4,5,7,8,9,10,10,10
República,2018,Vermelha,3,128,146,153,153,152,149,141,152,153,151,153,145
República,2019,Vermelha,3,132,150,156,157,155,152,143,154,165,168,170,155
República,2020,Vermelha,3,146,163,106,32,36,44,54,62,68,74,78,76
Sacomã,2018,Verde,2,34,40,42,42,42,41,38,42,43,43,44,42
Sacomã,2019,Verde,2,38,45,47,48,48,46,42,46,47,48,47,43
Sacomã,2020,Verde,2,41,47,31,11,12,15,18,20,22,24,25,24
Santa Cecília ,2018,Vermelha,3,29,33,34,33,33,32,30,32,32,32,33,31
Santa Cecília ,2019,Vermelha,3,25,32,33,33,32,32,30,32,33,32,33,25
Santa Cecília ,2020,Vermelha,3,28,32,22,9,9,11,13,14,16,16,17,17
Santa Cruz,2018,Azul,1,51,61,63,63,63,62,56,62,63,92,113,108
Santa Cruz,2019,Azul,1,98,113,119,121,120,117,108,117,116,116,119,112
Santa Cruz,2020,Azul,1,102,119,77,25,28,34,43,49,55,60,64,63
Santana ,2018,Azul,1,55,64,67,67,68,66,60,67,68,68,69,64
Santana ,2019,Azul,1,57,66,68,68,68,65,60,66,66,66,68,61
Santana ,2020,Azul,1,57,65,43,15,17,21,25,29,32,33,36,35
Santo Amaro,2018,Lilás,5,72,84,90,92,93,87,82,86,,,,
Santos-Imigrantes ,2018,Verde,2,13,15,16,16,16,15,14,16,16,16,17,15
Santos-Imigrantes ,2019,Verde,2,14,16,17,17,17,17,16,17,17,17,17,15
Santos-Imigrantes ,2020,Verde,2,15,17,11,4,4,5,6,6,7,8,8,8
Santuário N.S. de Fátima-Sumaré ,2018,Verde,2,11,14,15,15,15,14,13,15,15,15,15,14
Santuário N.S. de Fátima-Sumaré ,2019,Verde,2,12,15,16,16,16,15,12,15,15,15,16,13
Santuário N.S. de Fátima-Sumaré ,2020,Verde,2,12,15,9,2,2,3,3,4,4,5,5,4
Sapopemba,2019,Prata,15,,,,,,,,,,,,2
Sapopemba,2020,Prata,15,6,7,,,,2,3,4,4,5,5,5
Saúde ,2018,Azul,1,30,36,37,38,37,37,33,37,37,38,39,36
Saúde ,2019,Azul,1,31,37,39,39,39,38,34,37,37,38,38,34
Saúde ,2020,Azul,1,31,36,24,7,8,10,12,13,15,16,17,17
São Bento,2018,Azul,1,69,73,72,72,73,74,74,72,74,77,80,83
São Bento,2019,Azul,1,70,73,72,72,72,73,71,71,73,76,77,79
São Bento,2020,Azul,1,68,72,42,9,11,18,25,30,35,39,42,43
São Joaquim ,2018,Azul,1,23,44,57,57,51,44,26,50,54,53,53,34
São Joaquim ,2019,Azul,1,24,48,55,57,54,44,26,50,53,52,49,31
São Joaquim ,2020,Azul,1,23,39,31,6,7,8,9,11,12,13,13,13
São Judas ,2018,Azul,1,17,20,21,21,21,21,19,21,21,20,21,20
São Judas ,2019,Azul,1,18,20,21,21,21,21,19,21,21,22,21,19
São Judas ,2020,Azul,1,18,21,13,3,4,5,6,7,8,9,9,9
São Lucas,2018,Prata,15,,,,,,,,,,,,3
São Lucas,2019,Prata,15,3,4,4,5,5,5,4,5,5,5,5,5
São Lucas,2020,Prata,15,5,5,,,,1,2,2,2,3,3,3
São Mateus,2019,Prata,15,,,,,,,,,,,,3
São Mateus,2020,Prata,15,12,16,,,,5,7,8,9,11,11,11
Sé4,2018,Vermelha,3,225,264,278,278,274,266,246,271,275,281,293,272
Sé4,2019,Vermelha,3,241,279,288,289,283,273,247,276,273,280,280,253
Sé4,2020,Vermelha,3,231,268,173,51,58,73,90,104,116,126,133,131
Sé³,2018,Azul,1,211,243,257,257,254,249,232,252,254,254,258,243
Sé³,2019,Azul,1,214,245,254,254,252,245,226,246,240,240,242,222
Sé³,2020,Azul,1,202,228,156,54,62,76,92,103,114,122,127,128
Tamanduateí,2018,Verde,2,56,66,69,71,71,69,64,71,73,74,76,67
Tamanduateí,2019,Verde,2,61,72,73,78,61,60,56,61,69,81,83,74
Tamanduateí,2020,Verde,2,72,83,53,19,21,25,30,34,37,38,39,39
Tatuapé,2018,Vermelha,3,78,87,92,91,93,92,87,92,93,93,94,94
Tatuapé,2019,Vermelha,3,81,90,93,95,92,91,85,91,91,91,96,90
Tatuapé,2020,Vermelha,3,79,86,59,19,22,27,35,41,47,51,54,55
Tiradentes ,2018,Azul,1,11,17,19,19,18,18,15,19,19,19,19,16
Tiradentes ,2019,Azul,1,13,18,19,19,19,19,15,19,19,19,20,15
Tiradentes ,2020,Azul,1,13,18,12,3,4,5,6,7,7,8,8,8
Trianon-Masp ,2018,Verde,2,47,55,58,58,58,56,52,58,57,57,59,56
Trianon-Masp ,2019,Verde,2,51,59,62,63,62,59,55,59,60,61,60,54
Trianon-Masp ,2020,Verde,2,52,61,38,8,9,11,14,16,19,21,22,21
Tucuruvi ,2018,Azul,1,58,67,70,71,70,69,65,71,72,72,74,70
Tucuruvi ,2019,Azul,1,62,71,73,73,74,72,66,72,73,73,75,69
Tucuruvi ,2020,Azul,1,63,72,47,15,18,22,27,31,34,37,39,38
Vergueiro ,2018,Azul,1,26,32,34,34,34,32,29,33,33,33,34,30
Vergueiro ,2019,Azul,1,27,33,34,35,34,31,28,33,33,32,31,26
Vergueiro ,2020,Azul,1,27,33,23,8,9,10,12,13,14,15,16,15
Vila Madalena,2018,Verde,2,22,26,28,28,28,27,25,28,28,28,29,27
Vila Madalena,2019,Verde,2,23,29,30,30,30,29,24,28,29,29,29,26
Vila Madalena,2020,Verde,2,24,29,17,4,5,5,7,8,9,10,10,10
Vila Mariana ,2018,Azul,1,21,30,34,33,32,31,24,32,32,31,32,25
Vila Mariana ,2019,Azul,1,21,30,32,31,30,28,22,29,29,29,29,21
Vila Mariana ,2020,Azul,1,19,26,17,4,5,6,7,8,9,10,10,10
Vila Matilde ,2018,Vermelha,3,26,30,32,32,32,31,29,31,32,32,32,30
Vila Matilde ,2019,Vermelha,3,27,31,32,32,32,31,29,31,31,31,32,28
Vila Matilde ,2020,Vermelha,3,26,31,20,7,8,10,12,13,15,16,17,16
Vila Prudente5,2018,Verde,2,43,53,57,58,56,53,48,56,57,57,58,52
Vila Prudente5,2019,Verde,2,51,61,71,72,71,66,60,69,71,73,74,66
Vila Prudente5,2020,Verde,2,68,81,41,14,15,19,25,33,37,40,41,41
Vila Prudente6,2018,Prata,15,10,11,11,11,12,12,11,12,13,13,13,17
Vila Prudente6,2019,Prata,15,19,25,32,34,41,46,44,49,52,52,51,47
Vila Prudente6,2020,Prata,15,51,57,,,,13,21,25,29,30,31,32
Vila Tolstói,2018,Prata,15,,,,,,,,,,,,2
Vila Tolstói,2019,Prata,15,3,3,4,4,4,4,4,5,5,5,5,5
Vila Tolstói,2020,Prata,15,4,5,,,,1,2,2,3,3,3,3
Vila União,2018,Prata,15,,,,,,,,,,,,5
Vila União,2019,Prata,15,6,8,11,12,13,12,12,12,6,6,7,6
Vila União,2020,Prata,15,5,6,,,,2,2,3,3,3,3,3
Vila das Belezas ,2018,Lilás,5,8,10,11,11,12,11,10,10,,,,
